,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
98,97502,observation,1547338500,97502,Sorong,1547326800,D,76,34,3400,Fair,1.0,Rising,74,76,94,29.78,4,76,120.0,ESE,,5,,,,,,Low,76,0,,,,,25.0,,,,,,,,,
99,97502,observation,1547349300,97502,Sorong,1547337600,D,84,30,3000,Partly Cloudy,1.0,Rising,77,93,78,29.81,5,84,320.0,NW,,3,,77.0,0.02,,,Moderate,93,3,,,,,37.5,,,,,,,,,
100,97502,observation,1547360100,97502,Sorong,1547348400,D,89,30,3000,Partly Cloudy,2.0,Falling,77,101,68,29.77,5,89,290.0,WNW,,9,,,,,,Very High,101,9,,,,,37.5,,,,,,,,,
101,97502,observation,1547370900,97502,Sorong,1547359200,D,89,30,3000,Partly Cloudy,2.0,Falling,75,99,63,29.68,6,89,320.0,NW,,10,,,,,,Moderate,99,5,,,,,37.5,,,,,,,,,
102,97502,observation,1547381700,97502,Sorong,1547370000,D,86,28,2800,Mostly Cloudy,1.0,Rising,75,95,70,29.72,4,86,300.0,WNW,,6,,,,,,Low,95,0,,,,,50.0,,,,,,,,,
103,97502,observation,1547392500,97502,Sorong,1547380800,N,83,29,2900,Partly Cloudy,1.0,Rising,77,93,80,29.78,3,83,350.0,N,,2,90.0,,,,,Low,93,0,,,,,37.5,,,,,,,,,
104,97502,observation,1547403300,97502,Sorong,1547391600,N,82,29,2900,Partly Cloudy,2.0,Falling,77,90,86,29.76,3,82,,CALM,,0,,,,,,Low,90,0,,,,,37.5,,,,,,,,,
105,97502,observation,1547414100,97502,Sorong,1547402400,N,78,29,2900,Partly Cloudy,2.0,Falling,76,81,95,29.71,3,78,,CALM,,0,,,,,,Low,81,0,,,,,25.0,,,,,,,,,
106,97502,observation,1547424900,97502,Sorong,1547413200,D,78,30,3000,Partly Cloudy,1.0,Rising,77,81,96,29.75,3,78,,CALM,,0,,,,,,Low,81,0,,,,,25.0,,,,,,,,,
107,97502,observation,1547435700,97502,Sorong,1547424000,D,86,30,3000,Partly Cloudy,1.0,Rising,77,96,75,29.79,5,86,260.0,W,,6,,78.0,,,,Moderate,96,3,,,,,37.5,,,,,,,,,
108,97502,observation,1547446500,97502,Sorong,1547434800,D,89,30,3000,Partly Cloudy,2.0,Falling,78,102,70,29.72,5,89,330.0,NNW,,6,,,,,,Very High,102,10,,,,,37.5,,,,,,,,,
109,97502,observation,1547457300,97502,Sorong,1547445600,D,88,30,3000,Partly Cloudy,2.0,Falling,77,100,70,29.65,6,88,260.0,W,,6,,,,,,Moderate,100,5,,,,,37.5,,,,,,,,,
110,97502,observation,1547468100,97502,Sorong,1547456400,D,84,28,2800,Mostly Cloudy,2.0,Falling,77,94,79,29.7,4,84,10.0,N,,5,,,,,,Low,94,0,,,,,50.0,,,,,,,,,
111,97502,observation,1547478900,97502,Sorong,1547467200,N,82,29,2900,Partly Cloudy,1.0,Rising,77,90,86,29.75,4,82,360.0,N,,6,90.0,,,,,Low,90,0,,,,,37.5,,,,,,,,,
112,97502,observation,1547489700,97502,Sorong,1547478000,N,80,29,2900,Partly Cloudy,2.0,Falling Rapidly,77,85,92,29.75,4,80,100.0,E,,3,,,,,,Low,85,0,,,,,37.5,,,,,,,,,
113,97502,observation,1547500500,97502,Sorong,1547488800,N,78,29,2900,Partly Cloudy,2.0,Falling,77,81,96,29.72,4,78,10.0,N,,2,,,,,,Low,81,0,,,,,37.5,,,,,,,,,
114,97502,observation,1547511300,97502,Sorong,1547499600,D,77,11,1201,Light Rain,1.0,Rising Rapidly,76,78,95,29.75,4,77,330.0,NNW,,3,,,,,,Low,78,0,,,,,37.5,,,,,,,,,
115,97502,observation,1547522100,97502,Sorong,1547510400,D,79,28,2800,Mostly Cloudy,1.0,Rising,77,83,94,29.8,4,79,40.0,NE,,3,,77.0,0.08,,,Moderate,83,3,,,,,62.5,,,,,,,,,
